write_date,article_id,subject,carrier,plan_bucket,plan_name,new_amount,mnp_amount,status,source_text
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-17 10:08:43,264,케이엘모바일_부성정책_ 1월 17일_ 2-4차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,hello,11GB,manual_image_confirmed,30000,70000,manual_fixed,2025-01-17 2-5차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,hello,7GB,manual_image_confirmed,30000,120000,manual_fixed,2025-01-17 2-5차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,sk7,11GB,manual_image_confirmed,50000,150000,manual_fixed,2025-01-17 2-5차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,sk7,7GB,manual_image_confirmed,50000,110000,manual_fixed,2025-01-17 2-5차 image: LTE 알뜰 7GB 내국인 010신규/MNP
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,umobile,11GB,manual_image_confirmed,44000,154000,manual_fixed,2025-01-17 2-5차 image: LTE USIM 스페셜 11GB+일2GB 내국인 010신규/MNP
2025-01-17 11:37:16,265,케이엘모바일_부성정책_ 1월 17일_ 2-5차 정책,umobile,7GB,manual_image_confirmed,44000,132000,manual_fixed,2025-01-17 2-5차 image: LTE USIM 7GB+ 내국인 010신규/MNP
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,hello,11GB,auto_candidate,30000,30000,needs_review,"THE 착한 데이터 유심 11GB | 49,390 | 15,400 | 33,990 | 무제한 | 무제한 | 3008 | 1168 | 2GB+3Mbps | 30,000 30,000"
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,sk7,11GB,manual_image_confirmed,50000,150000,manual_fixed,2025-01-17 2-6차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,sk7,7GB,manual_image_confirmed,50000,110000,manual_fixed,2025-01-17 2-6차 image: LTE 알뜰 7GB 내국인 010신규/MNP
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-17 14:50:52,266,케이엘모바일_부성정책_ 1월 17일_ 2-6차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,hello,11GB,manual_image_confirmed,30000,70000,manual_fixed,2025-01-18 2-7차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,hello,7GB,manual_image_confirmed,30000,140000,manual_fixed,2025-01-18 2-7차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,sk7,11GB,manual_image_confirmed,50000,190000,manual_fixed,2025-01-18 2-7차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,sk7,7GB,manual_image_confirmed,50000,170000,manual_fixed,2025-01-18 2-7차 image: LTE 알뜰 7GB 내국인 010신규/MNP
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-18 08:41:31,267,케이엘모바일_부성정책_ 1월 18일_ 2-7차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,hello,11GB,manual_image_confirmed,30000,70000,manual_fixed,2025-01-18 2-8차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,hello,7GB,manual_image_confirmed,30000,140000,manual_fixed,2025-01-18 2-8차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,sk7,11GB,auto_candidate,20000,190000,needs_review,"결 함 2068 | 106 알뜰 (1168+/ 통 화 맘껏) | 49060 | 36,140 | 무제한 | 무제한 | 300% | 1168 | 일 208+34689 $0,000 | 190,000 | 20,000 | 190,000 | 20,000 | 170,000"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,sk7,7GB,auto_candidate,20000,170000,needs_review,"컬 함 568 | ite 알뜰 (768+/ 통 화 맘껏) | 48400 | 19,140 | 무제한 | Fate | 300% | 768 | 1Mbps | 50000 | 170,000 | 20,000 | 170,000 | 20,000 | 150,000"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-21 10:23:39,268,케이엘모바일_부성정책_ 1월 21일_ 2-8차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,hello,11GB,manual_image_confirmed,30000,70000,manual_fixed,2025-01-23 2-9차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,hello,7GB,manual_image_confirmed,30000,140000,manual_fixed,2025-01-23 2-9차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,sk7,11GB,auto_candidate,20000,190000,needs_review,"결 함 2068 | LTE 알뜰 (1168+/ 통 화 맘껏) | 49060 | 36,140 | xe | 무제한 | 200% | 1168 | aGB+aMbps $0,000 | 190,000 | 20,000 | 190,000 | 20,000 | 170,000"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,sk7,7GB,auto_candidate,20000,170000,needs_review,"watscs | ite 알뜰 (768+/ 통 화 맘껏) | 48400 | 19,140 | 무제한 | 무 저 한 | 300% | 768 | 1Mbps | 50000 | 170,000 | 20,000 | 170,000 | 20,000 | 150,000"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,skylife,11GB,auto_candidate,45000,185000,needs_review,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,skylife,7GB,auto_candidate,45000,160000,needs_review,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500"
2025-01-23 10:22:11,269,케이엘모바일_부성정책_ 1월 23일_ 2-9차 정책,umobile,11GB,auto_candidate,44000,197000,needs_review,"LTE USIM 스페셜           33,900           무제한          무제한 | 300% | 1168+일268 | 3Mbps | 44,000 | 197,000 | 44,000 | 197,000"
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,hello,11GB,auto_candidate,30000,70000,needs_review,"THE 착한 데이터 유심 11GB | 49,390 | 15,400 | 33,990 | 무제한 | 무제한 | 3008 | 1168 | @2GB+3Mbps | 30,000 | 70,000 | 30,000 | 70,000"
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,ktm,11GB,manual_image_confirmed,40000,120000,manual_fixed,2025-01-24 3차 image: M 프리미엄 11GB 내국인 010신규/MNP
2025-01-24 11:26:34,270,케이엘모바일_부성정책_ 1월 24일_ 3차 정책,ktm,7GB,manual_image_confirmed,40000,80000,manual_fixed,2025-01-24 3차 image: M 스페셜 7GB 내국인 010신규/MNP
