article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo
307,ktm,11GB,manual_image_confirmed,40000,80000,2025-05-03 1-1차 image: M 프리미엄 11GB 내국인 010신규/MNP
307,umobile,7GB,manual_image_confirmed,55000,90000,2025-05-03 1-1차 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
307,umobile,11GB,manual_image_confirmed,55000,100000,2025-05-03 1-1차 image: LTE 스페셜/이동의즐거움 11GB+ 계열 내국인 010신규/MNP
315,hello,7GB,manual_image_confirmed,30000,120000,2025-06-13 1-4차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
315,hello,11GB,manual_image_confirmed,30000,100000,2025-06-13 1-4차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
316,hello,7GB,manual_image_confirmed,30000,120000,2025-06-13 1-4차 수정 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
316,hello,11GB,manual_image_confirmed,30000,100000,2025-06-13 1-4차 수정 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
316,umobile,7GB,manual_image_confirmed,55000,110000,2025-06-13 1-4차 수정 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
316,umobile,11GB,manual_image_confirmed,55000,110000,2025-06-13 1-4차 수정 image: LTE 스페셜/이동의즐거움 11GB+ 계열 내국인 010신규/MNP
317,hello,7GB,manual_image_confirmed,30000,120000,2025-06-18 1-5차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
317,hello,11GB,manual_image_confirmed,30000,100000,2025-06-18 1-5차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
321,hello,7GB,manual_image_confirmed,30000,120000,2025-07-01 1차 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
321,hello,11GB,manual_image_confirmed,30000,120000,2025-07-01 1차 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
321,ktm,7GB,manual_image_confirmed,50000,100000,2025-07-01 1차 image: M 스페셜 7GB 내국인 010신규/MNP
321,ktm,11GB,manual_image_confirmed,50000,110000,2025-07-01 1차 image: M 프리미엄 11GB 내국인 010신규/MNP
323,hello,7GB,manual_image_confirmed,30000,120000,2025-07-02 1-1차 최종 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
323,hello,11GB,manual_image_confirmed,30000,120000,2025-07-02 1-1차 최종 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
323,ktm,7GB,manual_image_confirmed,50000,100000,2025-07-02 1-1차 최종 image: M 스페셜 7GB 내국인 010신규/MNP
323,ktm,11GB,manual_image_confirmed,50000,110000,2025-07-02 1-1차 최종 image: M 프리미엄 11GB 내국인 010신규/MNP
