write_date,article_id,subject,carrier,7GB_new,7GB_mnp,11GB_new,11GB_mnp,status,local_path
2025-02-07 10:35:51,275,케이엘모바일_부성정책_ 2월 7일_ 2차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/275/skylife.jpg
2025-02-07 10:35:51,275,케이엘모바일_부성정책_ 2월 7일_ 2차 정책,umobile,44000,121000,44000,143000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/275/umobile.jpg
2025-02-08 15:54:10,276,케이엘모바일_부성정책_ 2월 8일_ 2-1차 정책,hello,,,30000,120000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/276/hello.jpg
2025-02-08 15:54:10,276,케이엘모바일_부성정책_ 2월 8일_ 2-1차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/276/ktm.jpg
2025-02-08 15:54:10,276,케이엘모바일_부성정책_ 2월 8일_ 2-1차 정책,sk7,40000,120000,40000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/276/sk7.jpg
2025-02-08 15:54:10,276,케이엘모바일_부성정책_ 2월 8일_ 2-1차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/276/skylife.jpg
2025-02-08 15:54:10,276,케이엘모바일_부성정책_ 2월 8일_ 2-1차 정책,umobile,44000,121000,44000,143000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/276/umobile.jpg
2025-02-18 10:43:54,277,케이엘모바일_부성정책_ 2월 18일_ 3차 정책,hello,30000,130000,30000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/277/hello.jpg
2025-02-18 10:43:54,277,케이엘모바일_부성정책_ 2월 18일_ 3차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/277/ktm.jpg
2025-02-18 10:43:54,277,케이엘모바일_부성정책_ 2월 18일_ 3차 정책,sk7,40000,120000,40000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/277/sk7.jpg
2025-02-18 10:43:54,277,케이엘모바일_부성정책_ 2월 18일_ 3차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/277/skylife.jpg
2025-02-18 10:43:54,277,케이엘모바일_부성정책_ 2월 18일_ 3차 정책,umobile,,,44000,143000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/277/umobile.jpg
